,Date,Trips over the past 24-hours (midnight to 11:59pm),Cumulative trips (since launch):,Miles traveled today (midnight to 11:59 pm),Miles traveled to date:,Total Annual Members (All Time),24-Hour Passes Purchased (midnight to 11:59 pm),7-Day Passes Purchased (midnight to 11:59 pm),Cumulative trips (since launch),Miles traveled to date,Total Annual Memberships Sold
0,1/1/2015,5792,15216843.0,9191,26055797.0,127279.0,267,11,,,
1,1/2/2015,12371,15229214.0,18222,26074019.0,127293.0,298,8,,,
2,1/3/2015,4834,15234048.0,6282,26080301.0,127300.0,96,7,,,
3,1/4/2015,8509,15242557.0,11700,26092001.0,127308.0,152,5,,,
4,1/5/2015,15792,15258349.0,20022,26112023.0,127336.0,88,12,,,
5,1/6/2015,9483,15267832.0,12003,26124026.0,127354.0,2,1,,,
6,1/7/2015,10685,15278517.0,12791,26136817.0,127363.0,5,1,,,
7,1/8/2015,9777,15288294.0,11667,26148484.0,127372.0,18,0,,,
8,1/9/2015,8631,15296925.0,11093,26159577.0,127376.0,16,2,,,
9,1/10/2015,6826,15303751.0,8189,26167766.0,127383.0,51,3,,,
10,1/11/2015,8204,15311955.0,10199,26177965.0,127395.0,68,8,,,
11,1/12/2015,9441,15321396.0,11589,26189554.0,127408.0,27,2,,,
12,1/13/2015,14134,15335530.0,17429,26206983.0,127418.0,23,10,,,
